 ,Made Donation in March 2007
659,0.515831103
276,0.098722144
263,0.119623981
303,0.174170889
83,0.502641615
500,0.694237523
530,0.243127168
244,0.041539525
249,0.055040515
728,0.035985396
129,0.34710898
534,0.091476474
317,0.208133468
401,0.119623981
696,0.25360357
192,0.125212488
176,0.114308923
571,0.40447156
139,0.248956304
423,0.201060881
563,0.764668212
56,0.527208359
528,0.399723296
101,0.119623981
467,0.091848228
382,0.362159026
466,0.328854278
294,0.041539525
512,0.190322953
659,0.515831103
389,0.391325693
487,0.125642618
701,0.193933392
419,0.146800209
536,0.139776779
240,0.077686335
508,0.123745032
515,0.041539525
283,0.517167732
650,0.119623981
65,0.454491582
228,0.162267732
741,0.081118809
297,0.472079474
464,0.031554302
63,0.193933392
231,0.430527496
28,0.04397278
248,0.041539525
357,0.13945654
300,0.514109703
726,0.630268926
680,0.171057152
520,0.541981732
254,0.032521645
582,0.276061866
143,0.169504169
98,0.64897374
1,0.220663668
221,0.519020417
352,0.119623981
64,0.072073705
138,0.226963781
745,0.385244971
64,0.072073705
688,0.045529812
623,0.04858155
289,0.171328767
174,0.401155072
690,0.119623981
105,0.215741424
427,0.220124469
48,0.063103514
14,0.119623981
657,0.031865079
301,0.091476474
455,0.063325285
579,0.164980114
722,0.043361074
98,0.64897374
491,0.063103514
303,0.174170889
466,0.328854278
65,0.454491582
300,0.514109703
9,0.091333681
622,0.125212488
323,0.045529812
289,0.171328767
568,0.216701941
290,0.119623981
156,0.175252969
464,0.031554302
426,0.092266573
306,0.180340907
4,0.174170889
12,0.472886542
187,0.261653894
406,0.197822608
96,0.243127168
509,0.193933392
733,0.103578746
548,0.037749789
478,0.279629125
501,0.132557739
127,0.470768643
199,0.239269486
299,0.492118839
162,0.119623981
235,0.281373395
23,0.135146866
473,0.119623981
487,0.125642618
683,0.58928904
303,0.174170889
309,0.037579365
569,0.093505612
34,0.572970126
686,0.528818567
84,0.103154918
733,0.103578746
537,0.452405826
181,0.043563503
453,0.660661083
67,0.329857695
161,0.469661932
307,0.226342503
703,0.170104514
181,0.043563503
246,0.13393844
316,0.472173459
278,0.125212488
346,0.316834646
545,0.119623981
419,0.146800209
694,0.243127168
622,0.125212488
663,0.105683012
262,0.606359564
461,0.29531867
373,0.679347952
233,0.119623981
466,0.328854278
207,0.169504169
263,0.119623981
16,0.093505612
513,0.055849238
449,0.456752381
429,0.05299506
701,0.193933392
632,0.033453213
529,0.516704562
245,0.113258149
344,0.216231969
353,0.287801966
241,0.33400643
633,0
624,0.193933392
726,0.630268926
189,0.125212488
138,0.226963781
402,0.041539525
511,0.504786394
590,0.317101344
334,0.151599311
447,0.034626713
119,0.328854278
389,0.391325693
644,0.119623981
423,0.201060881
131,0.093505612
405,0.063103514
82,0.119623981
643,0.659379032
156,0.175252969
617,0.007941176
574,0.468145366
272,0.29531867
613,0.084454657
545,0.119623981
685,0.041539525
570,0.19250355
537,0.452405826
691,0
85,0.572416614
483,0.13393844
455,0.063325285
93,0.125212488
744,0.193933392
33,0.13393844
321,0.661943134
523,0.097078792
426,0.092266573
196,0.078049103
301,0.091476474
103,0
224,0.087343601
454,0.118427029
585,0.05659458
154,0.297551741
